pid,volume,image_number,head,entry,topic,first_letter,xref,see,page,add,type,index,insertion_xref,insertion,item,unparsed,line,selection,full_image,annotation_uri,order,thumbnail,full,label,location
alpha_0268,Volume 1,452,,Eagle,Eagle,E,,,,,,<a href='/New_Beehive/index2/index_1182/'>Eagle</a>,,,#item-b66ae7913,,Entry: Eagle|Topic: Eagle|Index: Eagle|#item-b66ae7913,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/776,2274,2926,280/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564517108861,268,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/776,2274,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/776,2274,2926,280/full/0/default.jpg",Eagle,<a href='/New_Beehive/toc/toc1_442/'>Full Page</a>
alpha_0269,Volume 1,452,,Ear,Ear,E,<a href='/New_Beehive/toc/toc2_274/'>1402 [Ear]</a>,,,,,<a href='/New_Beehive/index2/index_1183/'>ear</a>,,,#item-11dea4dfd,,Entry: Ear|Topic: Ear|XRef: 1402 [Ear]|Index: ear|#item-11dea4dfd,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/755,2531,2982,431/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564517152456,269,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/755,2531,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/755,2531,2982,431/full/0/default.jpg",Ear,<a href='/New_Beehive/toc/toc1_442/'>Full Page</a>
alpha_0270,Volume 1,452,,Earth,Earth,E,<a href='/New_Beehive/alpha5/alpha_1046/'>World</a>|<a href='/New_Beehive/toc/toc2_378/'>2130 [Earth]</a>,,,,,<a href='/New_Beehive/index2/index_1188/'>earth</a>,,,#item-a3ac6b45a,,Entry: Earth|Topic: Earth|Xref: World|Xref: 2130 [Earth]|Index: earth|#item-a3ac6b45a,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/766,2806,2960,651/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564517510076,270,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/766,2806,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/766,2806,2960,651/full/0/default.jpg",Earth,<a href='/New_Beehive/toc/toc1_442/'>Full Page</a>
alpha_0271,Volume 1,452,,Earthquake,Earthquake,E,<a href='/New_Beehive/toc/toc2_241/'>1237 [Earthquakes]</a>,,,,,<a href='/New_Beehive/index2/index_1190/'>earthquake</a>,,,#item-aada765c4,,Entry: Earthquake|Topic: Earthquake|XRef: 1237 [Earthquakes]|Index: earthquake|#item-aada765c4,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/786,3462,3029,581/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564517613653,271,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/786,3462,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/786,3462,3029,581/full/0/default.jpg",Earthquake,<a href='/New_Beehive/toc/toc1_442/'>Full Page</a>
alpha_0272,Volume 1,452,,Easter,Easter,E,Passover Feast,,,,,<a href='/New_Beehive/index2/index_1196/'>easter</a>,,,#item-193279c50,,Entry: Easter|Topic: Easter|Xref: Passover Feast|Index: easter|#item-193279c50,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/779,3866,2951,339/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564517734715,272,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/779,3866,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/779,3866,2951,339/full/0/default.jpg",Easter,<a href='/New_Beehive/toc/toc1_442/'>Full Page</a>
alpha_0273,Volume 1,452,,Ecclesiastical discipline,Ecclesiastical discipline,E,Excommunication|<a href='/New_Beehive/toc/toc2_064/'>74 [the Judge of religious Controversies]</a>|<a href='/New_Beehive/toc/toc2_106/'>402 [Order & Discipline of the Church of Christ]</a>,,,,,<a href='/New_Beehive/index2/index_1201/'>ecclesiastical discipline</a>,,,#item-c4e2bba71,,Entry: Ecclesiastical discipline|Topic: Ecclesiastical discipline|Xref: Excommunication|Xref: 74 [the Judge of religious Controversies]|Xref: 402 [Order & Discipline of the Church of Christ]|Index: ecclesiastical discipline|#item-c4e2bba71,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/821,4226,2927,886/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564517864591,273,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/821,4226,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/821,4226,2927,886/full/0/default.jpg",Ecclesiastical discipline,<a href='/New_Beehive/toc/toc1_442/'>Full Page</a>
alpha_0274,Volume 1,453,,Eccho,Eccho,E,<a href='/New_Beehive/toc/toc2_318/'>1616 [Eccho]</a>,,,,,<a href='/New_Beehive/index2/index_1204/'>echo</a>,,,#item-9d68ddad8,,Entry: Eccho|Topic: Eccho|Xref: 1616 [Eccho]|Index: echo|#item-9d68ddad8,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/399,243,3003,356/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564518089102,274,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/399,243,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/399,243,3003,356/full/0/default.jpg",Eccho,<a href='/New_Beehive/toc/toc1_443/'>Full Page</a>
alpha_0275,Volume 1,453,,Eclipse,Eclipse,E,<a href='/New_Beehive/toc/toc2_175/'>936 [Eclipse]</a>,,,,,<a href='/New_Beehive/index2/index_1205/'>eclipse</a>,,,#item-3a398c693,,Entry: Eclipse|Topic: Eclipse|Xref: 936 [Eclipse]|Index: eclipse|#item-3a398c693,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/386,523,3117,234/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564518194850,275,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/386,523,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/386,523,3117,234/full/0/default.jpg",Eclipse,<a href='/New_Beehive/toc/toc1_443/'>Full Page</a>
alpha_0276,Volume 1,453,,Eel,Eel,E,<a href='/New_Beehive/toc/toc2_324/'>1647 [Eel]</a>,,,,,<a href='/New_Beehive/index2/index_1211/'>eel</a>,,,#item-ab3f11547,,Entry: Eel|Topic: Eel|Xref: 1647 [Eel]|Index: eel|#item-ab3f11547,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/399,667,3061,175/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564518228193,276,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/399,667,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/399,667,3061,175/full/0/default.jpg",Eel,<a href='/New_Beehive/toc/toc1_443/'>Full Page</a>
alpha_0277,Volume 1,453,,Egg,Egg,E,<a href='/New_Beehive/toc/toc2_325/'>1651 [Eggs]</a>,,,,,<a href='/New_Beehive/index2/index_1216/'>egg</a>,,,#item-5bacc263d,,Entry: Egg|Topic: Egg|Xref: 1651 [Eggs]|Index: egg|#item-5bacc263d,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/381,801,3076,319/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564518289645,277,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/381,801,600,180/250,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0452/381,801,3076,319/full/0/default.jpg",Egg,<a href='/New_Beehive/toc/toc1_443/'>Full Page</a>
